SMILES,Tc_label,Tc_pred,Tc_rescaled_label
*Oc1ccc(/N=C/C=N/c2ccc(OC(=O)NC3CC(C)(C)CC(C)(CNC(*)=O)C3)cc2)cc1,0.349,0.25352554389364856,0.29700222481632865
*CC(F)(F)C1(F)CC(C(O)(C(F)(F)F)C(F)(F)F)CC1*,0.109,0.11812515507257984,0.13570354230817422
*CCCCOC(=O)CCCCCCCC(=O)O*,0.241,0.25968757675081383,0.24441443653782416
*CCCCCCCCCCc1ccc(-c2c(-c3ccccc3)cc(-c3cccc(-c4cc(-c5ccccc5)c(-c5ccc(*)cc5)c(-c5ccccc5)c4-c4ccccc4)c3)c(-c3ccccc3)c2-c2ccccc2)cc1,0.21,0.29354196914281433,0.22545155207102702
*c1ccc(-c2ccc(-c3sc(*)c(CCCCCCCCCCCC)c3CCCCCCCCCCCC)s2)s1,0.299,0.3276119866029988,0.28451014867926677
*c1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(C(c4ccc(Oc5ccc(N6C(=O)c7ccc(C(*)(C(F)(F)F)C(F)(F)F)cc7C6=O)cc5C(F)(F)F)cc4)(C(F)(F)F)C(F)(F)F)cc3)c(C(F)(F)F)c1)C2=O,0.152,0.1547763545983772,0.16492198570044905
*Oc1ccc(/N=C/CCC/C=N/c2ccc(OC(=O)Nc3cc(NC(*)=O)ccc3C)cc2)cc1,0.252,0.27664196249223116,0.25237509561812715
*Oc1ccc(/C=N/c2ccc(/N=C/c3ccc(OC(=O)CCCCCCCCC(*)=O)c(OC)c3)cc2)cc1OC,0.274,0.2766058547723491,0.2666103527361383
*CC(*)C(=O)N1CCCCC1,0.218,0.21039871438150204,0.22783337519791075
*CCCCCCCCCCCCCCOC(=O)c1ccc(C(=O)NCCCCCNC(=O)c2ccc(C(=O)O*)cc2)cc1,0.258,0.2974492273125437,0.2563482227072648
*/C(=C(\c1ccccc1)c1ccc(*)cc1)c1ccccc1,0.338,0.2508494025097274,0.29584355666265416
*CCCCCCCCCCN/C(C)=N/*,0.298,0.3098459104439929,0.2840687499683663
*CCCCOC(=O)c1cccc(-c2cccc(C(=O)O*)c2)c1,0.203,0.2211185217102271,0.22449301437549077
*CCCCOC(=O)c1ccc(-c2ccc(C(=O)O*)cc2)cc1,0.248,0.24423780323392064,0.24968728229950296
*c1nc2cc(-c3ccc4[nH]c(-c5ccc(*)o5)nc4c3)ccc2[nH]1,0.446,0.34485509522500046,0.3072195712623672
*CC(*)c1ccc(COCCCCCC)cc1,0.252,0.2539289424818102,0.25237509561812715
*CCCCCCCCCCCCCCOC(=O)c1ccc(C(=O)NCCNC(=O)c2ccc(C(=O)O*)cc2)cc1,0.274,0.28310268857277476,0.2666103527361383
*C(=C=C=C(*)CCCCOS(=O)(=O)c1ccc(C)cc1)CCCCOS(=O)(=O)c1ccc(C)cc1,0.21,0.2149191568399309,0.22545155207102702
*C(=C=C=C(*)CCCCOC(=O)NCC)CCCCOC(=O)NCC,0.26,0.25808925626952556,0.257630988960874
*CCCCCCCCCCCCNC(=O)CCCCCCCCCCCCCCCCCCC(=O)N*,0.44,0.39731915879777835,0.30658757045127205
*OC(C)COC(=O)CCCCSCCCCC(*)=O,0.214,0.21432055948017442,0.22664246363446888
*c1ccc2ccc3c(*)cc(C#C)c4ccc1c2c34,0.582,0.2998974569374781,0.3167334406151034
*CCCCSSCCCSS*,0.161,0.1741254087004044,0.17613662078883005
*c1ccc(Oc2ccc(-c3csc(/N=C/c4ccc(OCCCCCCCCOc5ccc(/C=N/c6nc(*)cs6)cc5OC)c(OC)c4)n3)cc2)cc1,0.228,0.27561994182066163,0.23382903440200678
*c1ccc2c(c1)C(=O)N(c1ccc(C(c3ccc(N4C(=O)c5ccc(C(*)(C(F)(F)F)C(F)(F)F)cc5C4=O)cc3)(C(F)(F)F)C(F)(F)F)cc1)C2=O,0.151,0.14810761844474538,0.16150039074212572
*CCCCCCCCCCCCCCCCCCNC(=O)CCCCCCCCC(=O)N*,0.369,0.3903160005041312,0.2991088941866459
*CC(*)c1ccc(C(=O)N2CCOCC2)cc1,0.24,0.2214793261732509,0.24340222874198103
*Oc1ccc(C2(c3ccc(OC(*)=O)c(C)c3)CCCCC2)cc1C,0.183,0.21624940010957994,0.20821962696690616
*CC(*)(F)C(=O)OCC(F)(F)C(F)(F)C(F)(F)F,0.097,0.10331636197306815,0.1195785295679926
*c1c(*)c2ccccc2c2ccccc12,0.091,0.15744338554702364,0.1195785295679926
*CC(*)c1ccccc1,0.2045999999999999,0.1872197210734302,0.22453259547769344
*Oc1ccc(/N=C/CCC/C=N/c2ccc(OC(=O)NC3CC(C)(C)CC(C)(CNC(*)=O)C3)cc2)cc1,0.207,0.24115109525642078,0.2245919671309975
