SMILES,Rg_label,Rg_pred,Rg_rescaled_label
*/C(C)=C(/*)C(C)C,33.80326529,15.155897671557302,22.645840219637172
*/C(Cl)=C(/*)c1ccccc1,29.80213503,16.936878582227568,22.256694545328813
*/C=C(/*)C(C)(C)C,25.62136341,15.82881714743677,21.714943187568437
*/C=C(/*)c1ccc(-c2ccc(C#C)cc2)cc1,21.12489851,18.314531515862388,20.323934601988352
*/C=C(/*)c1ccc(C#C)cc1,28.65403268,18.414049166927335,22.09154922668751
*/C=C(/*)c1cccc(C#C)c1,27.70134865,17.468114854246668,21.954513266697678
*/C=C/*,85.68401866,29.098187428663394,29.098187428663394
*/C=C/C(C(=O)OCc1ccc(Cl)cc1)C(*)C(=O)OCc1ccc(Cl)cc1,15.8026764,13.740353290472573,13.205413966852209
*/C=C/C(C*)C(C)CC,16.7271141,14.311912893127895,14.657953794135016
*/C=C/C(C*)OC,18.49301213,17.217663386345464,16.872306813442165
*/C=C/C1CC(*)C2C(=O)N(CCCCC)C(=O)C12,15.45947293,13.092491777476098,13.013806909812102
*/C=C/C1CC(*)C2C(=O)N(CCCCCC)C(=O)C12,14.67240732,12.91505379412655,12.443902693988107
*/C=C/CC*,22.53469118,18.99854537554338,21.099637283998813
*/C=C/CCC*,21.20185181,18.43570641185627,20.365876296151143
*/C=C/CCCCCCCCCC*,22.20393175,20.229108502931382,20.843200987241012
*/C=C\*,29.50466545,28.218846303175106,22.213905931077484
*/C=C\CC*,20.39705577,18.9755934640659,19.68226104420513
*/C=C\CCC*,19.41179187,18.43357848396392,18.52455798639858
*/C=C\CCCC*,18.83393128,18.43970327069714,17.70615522731015
*/C=C\CCCCC*,20.47395209,18.727767818622475,19.737090847330023
*C#C/C(COS(=O)(=O)c1ccc(C)cc1)=C(/*)COS(=O)(=O)c1ccc(C)cc1,24.55560009,14.073537163774862,21.455151963912936
*C(*)C(=O)OC,19.45199837,18.731394005471806,18.612388533164797
*C(*)C(=O)OC(C)C,16.31426813,16.149432693316207,14.079718188546718
*C(*)C(=O)OCC,17.34823087,16.802670298186754,15.330477837592635
*C(*)C(=O)OCCC,15.96646564,15.438325764716183,13.908091146355149
*C(=O)C1CCCN1*,17.03850851,15.188520070036107,14.957460521394697
*C(=O)CCCCCCCCC(=O)N1CCN(*)CC1,23.7286096,18.89994369985919,21.34799773153049
*C(=O)NC1CCC(CC2CCC(NC(=O)c3ccc(N4C(=O)c5ccc(*)cc5C4=O)cc3)CC2)CC1,28.28450564,21.213082507771354,22.038395724504205
*C(=O)NCCCCCCNC(=O)c1ccc(N2C(=O)c3ccc(*)cc3C2=O)cc1,23.37897452,21.45266977198073,21.276233132712527
*C(=O)NCCNC(=O)c1ccc(N2C(=O)c3ccc(*)cc3C2=O)cc1,24.32433339,21.16971573865551,21.413584188037827
*C(=O)Nc1ccc(C2(c3ccc(NC(=O)c4ccc5c(c4)C(=O)N(c4ccc(Sc6ccc(Oc7ccc(Sc8ccc(N9C(=O)c%10ccc(*)cc%10C9=O)cc8)cc7)cc6)cc4)C5=O)cc3)c3ccccc3-c3ccccc32)cc1,23.76085133,21.53833721851311,21.35048054881693
*C(=O)Nc1ccc(Cc2ccc(NC(=O)c3ccc(N4C(=O)c5ccc(*)cc5C4=O)cc3)cc2)cc1,30.8524502,22.766769171357993,22.391032041236784
*C(=O)Nc1ccc(NC(=O)c2ccc(N3C(=O)c4ccc(*)cc4C3=O)cc2)cc1,45.45353617,22.811170327148144,23.546186662711737
*C(=O)Nc1ccc(NC(=O)c2ccc3c(c2)C(=O)N(c2ccc(S(=O)(=O)c4ccc(N5C(=O)c6ccc(*)cc6C5=O)cc4)cc2)C3=O)cc1,28.98708564,22.56041968612704,22.139456224877723
*C(=O)Nc1ccc(Oc2ccc(N3C(=O)c4ccc(*)cc4C3=O)cc2)cc1,32.30168599,22.78098961213027,22.51617615242626
*C(=O)Nc1ccc(Oc2ccc(NC(=O)c3ccc4c(c3)C(=O)N(c3ccc(S(=O)(=O)c5ccc(N6C(=O)c7ccc(*)cc7C6=O)cc5)cc3)C4=O)cc2)cc1,28.69634527,22.740906074149827,22.097635553536406
*C(=O)Nc1cccc(/C=C/C(=O)/C=C/c2cccc(NC(=O)c3ccc(N4C(=O)c5ccc(*)cc5C4=O)cc3)c2)c1,25.51876593,20.928424298390734,21.69364636709056
*C(=O)Nc1cccc(C#Cc2cccc(N3C(=O)c4ccc(*)cc4C3=O)c2)c1,24.93378627,20.948794388736435,21.534580259905834
*C(=O)Nc1cccc(NC(=O)/C=C/c2cccc(N3C(=O)c4ccc(*)cc4C3=O)c2)c1,25.31679754,20.861844412187345,21.642845452065306
