SMILES,Density_label,Density_pred,Density_rescaled_label
*/C(C)=C(/*)C(C)C,0.742358507,0.7751107269962323,0.7739552122973933
*/C(Cl)=C(/*)c1ccccc1,1.076752211,1.0508093678869392,1.0397515013301857
*/C=C(/*)C(C)(C)C,0.776287524,0.7805863255280874,0.7739552122973933
*/C=C(/*)c1ccc(-c2ccc(C#C)cc2)cc1,1.042090871,0.9939347850600444,0.9941727216650778
*/C=C(/*)c1ccc(C#C)cc1,1.010292342,0.9683152525440527,0.9683152525440527
*/C=C(/*)c1cccc(C#C)c1,1.016829963,0.9706008612023338,0.9739791443671374
*/C=C/*,0.887086616,0.8016311407350238,0.8407422563875324
*/C=C/C(C(=O)OCc1ccc(Cl)cc1)C(*)C(=O)OCc1ccc(Cl)cc1,1.258571666,1.195513194821978,1.1978758719378286
*/C=C/C(C*)C(C)CC,0.850539749,0.8188367988490206,0.8198114186641515
*/C=C/C(C*)OC,1.003981727,0.9534154890020188,0.9637602418130811
*/C=C/C1CC(*)C2C(=O)N(CCCCC)C(=O)C12,1.050823811,0.9836101969371568,1.0028351889194111
*/C=C/C1CC(*)C2C(=O)N(CCCCCC)C(=O)C12,1.035217626,0.9863912250974621,0.9849643721688391
*/C=C/CC*,0.883044552,0.8418959841691377,0.8385601826741386
*/C=C/CCC*,0.870773195,0.8348203906212064,0.8270170978131884
*/C=C/CCCCCCCCCC*,0.853346172,0.8211796260423784,0.8202828289476499
*/C=C\*,0.959011341,0.8157545524745977,0.9065601913444116
*/C=C\CC*,0.891055243,0.8423857941029684,0.8435557533875715
*/C=C\CCC*,0.876838662,0.8360280087736005,0.8333809010019864
*/C=C\CCCC*,0.868416895,0.8316203143225704,0.8254906763915527
*/C=C\CCCCC*,0.867588794,0.8294491610730828,0.8249542289503619
*C#C/C(COS(=O)(=O)c1ccc(C)cc1)=C(/*)COS(=O)(=O)c1ccc(C)cc1,1.251976494,1.1839448988168453,1.1883091020905787
*C(*)C(=O)OC,1.150760389,1.1026441570834957,1.1059267377952922
*C(*)C(=O)OC(C)C,1.034629356,0.9819677100769089,0.9845385048574816
