SMILES,FFV_label,FFV_pred,FFV_rescaled_label
*CC(F)(F)C1(F)CC(C(O)(C(F)(F)F)C(F)(F)F)CC1*,0.32084568,0.3201580731630208,0.3201580731630208
*CCCCCCCCCCc1ccc(-c2c(-c3ccccc3)cc(-c3cccc(-c4cc(-c5ccccc5)c(-c5ccc(*)cc5)c(-c5ccccc5)c4-c4ccccc4)c3)c(-c3ccccc3)c2-c2ccccc2)cc1,0.39826604,0.39785417948951524,0.39785417948951524
*c1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(C(c4ccc(Oc5ccc(N6C(=O)c7ccc(C(*)(C(F)(F)F)C(F)(F)F)cc7C6=O)cc5C(F)(F)F)cc4)(C(F)(F)F)C(F)(F)F)cc3)c(C(F)(F)F)c1)C2=O,0.38326805,0.38158631034839113,0.38254887541476573
*CC(*)C(=O)N1CCCCC1,0.36828508,0.36698084493116956,0.36853892505730934
*CCCCOC(=O)c1ccc(-c2ccc(C(=O)O*)cc2)cc1,0.33930265,0.3419064330878534,0.3403407119612467
*c1ccc2c(c1)C(=O)N(c1ccc(C(c3ccc(N4C(=O)c5ccc(C(*)(C(F)(F)F)C(F)(F)F)cc5C4=O)cc3)(C(F)(F)F)C(F)(F)F)cc1)C2=O,0.39524704,0.39537212467779204,0.3947643622333122
*CC(*)c1ccc(C(=O)N2CCOCC2)cc1,0.35986197,0.359268513746359,0.3602417074074993
*Oc1ccc(C2(c3ccc(OC(*)=O)c(C)c3)CCCCC2)cc1C,0.38771377,0.38104658581638184,0.3854803228186591
*CC(*)(F)C(=O)OCC(F)(F)C(F)(F)C(F)(F)F,0.32178633,0.3204282379019788,0.32287878334714565
*CC(*)c1ccc(COCCOCCCC)cc1,0.37958253,0.3788587082447602,0.3793293234354625
*CC(CCCCCCCCCCCCCCCC)C(CCCCCCCCCCCCCCCC)COC(=O)c1ccc(C(=O)O*)cc1,0.39720442,0.38980502614972995,0.39553843215834983
*Oc1ccc(C2(c3ccc(OC(*)=O)cc3)c3ccccc3-c3ccccc32)cc1,0.38475968,0.38135011665741625,0.3835763630969245
*CC(O)COc1c(Cl)cc(C(C)(C)c2cc(Cl)c(O*)c(Cl)c2)cc1Cl,0.36746955,0.3690751410404507,0.36813246470808836
*Oc1c(Cl)cc(C2(c3cc(Cl)c(OC(*)=O)c(Cl)c3)CCCCC2)cc1Cl,0.39600978,0.3949333775846895,0.39514510049473045
*CC(*)c1ccc(C(=O)N(CC)CC)cc1,0.36711341,0.3728626088897567,0.3679160781345745
*CCCCCCCCCCCNC(=O)CCCCCCCCC(=O)N*,0.37104926,0.3687577956701999,0.3711006042960491
*c1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(N4C(=O)c5ccc(C(*)(C(F)(F)F)C(F)(F)F)cc5C4=O)cc3)cc1)C2=O,0.38674054,0.3844448890692494,0.38531570569091583
*C1C(=O)N(C2CCCCC2)C(=O)C1*,0.39675252,0.3762335586329378,0.3953896454286325
*CC(O)COc1ccc(C(C)(C)c2ccc(O*)cc2)cc1,0.35095055,0.34946575608504993,0.35138428656334225
*Oc1ccc(C(C)(c2ccccc2)c2ccc(OC(*)=O)cc2)cc1,0.36147298,0.3636208588514473,0.36124201214553964
*Cc1ccc2nc(-c3cc(-c4nc5ccc(*)cc5c(=O)o4)cc(N4C(=O)c5ccccc5C4=O)c3)oc(=O)c2c1,0.37326662,0.3741511701095821,0.37252376434609863
*CC(*)(C)C(=O)OCC1CO1,0.33062914,0.3311598348741937,0.3329568310997339
*Oc1ccc(C2(c3ccc(OC(*)=O)cc3)CCCCC2)cc1,0.35918735,0.35896167425857256,0.3596653905392498
*c1ccc(C(Cl)(Cl)C(*)Cl)cc1,0.39641701,0.3966677778649354,0.3952791797599281
*c1ccc(C(F)(F)C(*)(F)F)cc1,0.37735155,0.3756155270506737,0.37657014230118047
*CC1(C)CC(N2C(=O)c3ccc(-c4ccc5c(c4)C(=O)N(*)C5=O)cc3C2=O)CC(C)(C)C1,0.37465828,0.37287691810933465,0.3735354334227179
*Oc1ccc(C2(c3ccc(OC(*)=O)c(Cl)c3)CCCCC2)cc1Cl,0.37361861,0.3754600492925518,0.37265273800695764
*Oc1ccc(C(CCC)(CCC)c2ccc(OC(*)=O)cc2)cc1,0.38249055,0.3779798715824548,0.3821550311194135
*c1ccc2c(c1)C(=O)N(c1cccc(C(c3cccc(N4C(=O)c5ccc(C(*)(C(F)(F)F)C(F)(F)F)cc5C4=O)c3)(C(F)(F)F)C(F)(F)F)c1)C2=O,0.38091589,0.38162562936131733,0.38097261072317345
*CC(*)c1ccc(C(=O)CCN2CCCCC2)cc1,0.37311156,0.37268367048035606,0.37249453878429567
*CCCCCCCCCCCCCCCCOC(=O)CCCCCCC(=O)O*,0.37544747,0.37779924504368995,0.37575070617481576
*CC(*)(CC(=O)OCCC1CCCCC1)C(=O)OCCC1CCCCC1,0.3743525,0.3735172945862878,0.3730970550123323
*OS(=O)(=O)c1cccc(S(=O)(=O)Oc2ccc(C3(c4ccc(*)cc4)CCCCC3)cc2)c1,0.36029922,0.3616569940320033,0.3604446414147905
*OC(=O)C(Cc1ccccc1)NC(=O)CCCCCCCCCCC(=O)NC(Cc1ccccc1)C(=O)OC1COC2C(*)COC12,0.35207165,0.35076781285849784,0.3523894154353903
*c1ccc(-c2ccc(C3(*)c4ccccc4-c4ccccc43)cc2)cc1,0.41877221,0.41944527861562636,0.4190146972668903
*CCCCOC(=O)CCCCCNC(=O)CCCCC(=O)NCCCCCC(=O)O*,0.34021952,0.3414355128237794,0.34148363656500164
*Oc1ccc(C2(c3ccc(OC(*)=O)cc3)CCCC2)cc1,0.35187363,0.3555349207068719,0.3522004007415286
*CC(c1ccccn1)C(c1ccccc1)C(*)c1ccccn1,0.39661394,0.395803178472327,0.39534401837617783
*Oc1cc(OC(=O)c2ccc(C)cc2)c(OC(=O)CCCCCCCCCCCCCCC(*)=O)cc1OC(=O)c1ccc(C)cc1,0.36849104,0.36601348500345876,0.36860653756893147
*c1ccc(-c2cc(-c3ccc(OCCCC#N)cc3)cc(-c3ccc(N4C(=O)c5ccc(-c6ccc7c(c6)C(=O)N(*)C7=O)cc5C4=O)cc3)n2)cc1,0.38426678,0.38567374919806613,0.38305478424190026
*CCCCCCCCCCOc1ccc(C=C2CCCC(=Cc3ccc(O*)cc3)C2=O)cc1,0.37076764,0.37179234779170367,0.3709923369355724
*Oc1c(Br)cc(C(C)(C)c2cc(Br)c(OC(*)=O)c(Br)c2)cc1Br,0.4290399,0.43087694977209784,0.4336782663995718
*c1ccc(Oc2ccc(C(=O)c3ccc(Oc4ccc(-c5c6c(c(*)c7ccccc57)C(=O)N(CCCCCCCCCCCC)C6=O)cc4)cc3)cc2)cc1,0.37658949,0.37784696123988604,0.37635210937785707
*c1ccc(Oc2ccc(C(c3ccc(Oc4ccc(N5C(=O)c6ccc(-c7ccc8c(c7)C(=O)N(*)C8=O)cc6C5=O)cc4)cc3)(C(F)(F)F)C(F)(F)F)cc2)cc1,0.37203901,0.3727553379004256,0.3719045087015574
*Nc1ccc(C(CC)(CCCCC)c2ccc(N*)cc2)cc1,0.36534914,0.36316385972665555,0.3650638777483383
